Unnamed: 0,id,name,lat,lon,splitFailurePct,startDate,endDate,day count,startTime,endTime,days_of_week,reportID,lookup,ID,Month,Year,Time,totalVehicleVolume,start_dt,month_no,year_no,crash_count,crashes per 1000 veh,total_crashes,tot crashes per 1000 veh
32197,30.2533_-97.6976,East 7th Street & Shady Lane,30.25333,-97.69759,0.025,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,101544,44652,4,2022,2,1.96959E-05,21,0.206806901
32198,30.2566_-97.7111,East 5th Street & Pleasant Valley Road,30.25661,-97.71111,0.098,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,52486,44652,4,2022,2,3.81054E-05,9,0.171474298
32199,30.2585_-97.7287,East Cesar Chavez Street & Comal Street,30.25851,-97.72865,2.247,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,51141,44652,4,2022,0,0,6,0.117322696
32200,30.2672_-97.7470,West 4th Street & Guadalupe Street,30.26717,-97.74698,1.289,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,99082,44652,4,2022,0,0,3,0.030277952
32201,30.2674_-97.7404,San Jacinto Boulevard & East 6th Street,30.2674,-97.7404,0.545,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,55675,44652,4,2022,0,0,4,0.071845532
32202,30.2683_-97.7365,Red River Street & East 8th Street,30.26835,-97.7365,1.564,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,35247,44652,4,2022,0,0,2,0.056742418
32203,30.2689_-97.7386,East 8th Street & Trinity Street,30.26894,-97.73863,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,23489,44652,4,2022,0,0,4,0.170292477
32204,30.2696_-97.7484,Nueces Street & West 6th Street,30.26965,-97.74845,0.844,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,51146,44652,4,2022,0,0,6,0.117311227
32205,30.2719_-97.7319,North Interstate 35 & East 12th Street,30.27187,-97.73191,0.383,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,91658,44652,4,2022,0,0,4,0.04364049
32206,30.2725_-97.7438,West 10th Street & Lavaca Street,30.27246,-97.74383,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,49490,44652,4,2022,0,0,5,0.101030511
